level,text_korean,text_english,source,,원본: [스토리즈] 2607_지문 (한글타자).xlsm
1,"마트에서 물건의 가격을 봐요.
과자는 990원이에요.
우유는 1,990원,
바나나는 2,990원이에요.
왜 모두 '990'이에요?
1,000원하고 990원은 비슷해요.
그렇지만 사람들은 이렇게 생각해요.
'1,000원은 비싸요.
990원은 싸요.'","I look at the prices of items at the mart.
Snacks are 990 won.
Milk is 1,990 won,
Bananas are 2,990 won.
Why are they all '990'?
1,000 won and 990 won are similar.
However, people think like this.
'1,000 won is expensive.
990 won is cheap.'",TTMIK Stories Level 1 Articles 990원,,
1,"저는 한국 친구가 한 명 있어요.
그 친구는 외국어 공부를 좋아해요.
지금까지 중국어, 일본어, 영어를 공부했어요.
그런데 그 친구가 말했어요.
“스페인어를 공부하고 싶어요.” 
저는 요즘 그 친구한테 스페인어를 가르쳐요.
그 친구는 저한테 한국어를 가르쳐요.","I have one Korean friend.
That friend likes studying foreign languages.
Until now, (they) have studied Chinese, Japanese, and English.
But that friend said.
""I want to study Spanish.""
These days, I teach Spanish to that friend.
That friend teaches Korean to me.",TTMIK Stories Level 1 Articles 외국어 공부를 좋아해요,,
1,"저는 리사예요.
40살이에요.
여자예요.
요즘 금요일에 축구를 해요.
1시부터 3시까지 해요.
제 친구들은 축구를 하지 않아요.
친구들은 요가를 많이 해요.
그렇지만 축구도 정말 재미있어요.
저는 열심히 축구를 배워요.
제 아이한테 축구를 가르치고 싶어요.","I am Lisa.
I am 40 years old.
I am a woman.
These days, I play soccer on Fridays.
I play (soccer) from 1 to 3 o’clock.
My friends don’t play soccer.
My friends do yoga a lot.
But soccer is also really fun.
I'm working hard to learn soccer.
I want to teach soccer to my child.",TTMIK Stories Level 1 Articles 축구를 해요,,
1,"저는 혼자 살아요.
집은 조금 작아요.
하지만 집이 예뻐요.
냉장고에는 음식이 많이 있어요.
벽에는 가족 사진이 있어요.
방에는 향기가 나요.
저는 제 집이 좋아요.
그렇지만 가끔 가족이 보고 싶어요.
그러면 가족에게 전화를 해요.
저는 다시 힘이 나요!","I live alone.
The house is a bit small.
But the house is pretty.
There is a lot of food in the refrigerator.
There is a family photo on the wall.
The room smells nice.
I like my house.
But sometimes I miss my family.
Then I call my family.
I feel energized again!",TTMIK Stories Level 1 Articles 저는 혼자 살아요,,
1,"5월 8일은 한국의 ‘어버이날’이에요.
‘어버이날’은 엄마, 아빠의 날이에요.
한국에서는 어버이날에 엄마, 아빠한테 카네이션을 줘요.
그래서 이날은 꽃집에서 카네이션을 많이 팔아요.
그리고 엄마, 아빠한테 이렇게 말해요.
엄마, 아빠, 감사해요.
그리고 사랑해요!","May 8th is Parents' Day in Korea.
'Parents' Day' is the day for moms and dads.
In Korea, on Parents’ Day, people give carnations to their moms and dads.
So on this day, flower shops sell a lot of carnations.
And they say this to their moms and dads.
Mom, Dad, thank you.
And I love you!",TTMIK Stories Level 1 Articles 어버이날,,
1,"오늘 한국 친구를 만났어요.
친구가 저한테 말했어요.
“안녕! 밥 먹었어?” 
저는 밥을 안 먹었어요.
빵을 먹었어요.
그래서 이렇게 말했어요.
""아니, 밥 안 먹었어.” 
""그래? 왜 안 먹었어?” 
""빵 먹었어.” 
친구가 웃었어요.
한국에서 '밥 먹었어?'는 그냥 인사예요.","Today, I met my Korean friend.
My friend said to me.
""Hi! Did you eat?""
I didn't eat rice.
I ate bread.
So I said this.
""No, I didn't eat rice.""
""Really? Why didn't you eat?""
""I ate bread.""
My friend laughed.
In Korea, 'Did you eat?' is just a greeting.",TTMIK Stories Level 1 Articles 밥 먹었어요?,,
1,"서울에 유명한 강이 있어요.
강의 이름은 ‘한강’이에요.
강이 아주 커요.
강 근처에 공원이 있어요.
‘한강 공원’이에요.
사람들은 한강 공원에 많이 가요.
한강 공원에서 운동을 해요.
데이트도 해요.
가족들은 한강 공원에 소풍을 가요.
한강에서 배를 타요.
한강은 정말 좋아요.","There is a famous river in Seoul.
The name of the river is 'Hangang River.'
The river is very big.
There is a park near the river.
It's Hangang River Park.
People go to Hangang River Park a lot.
They exercise at Hangang River Park.
They also go on dates.
Families go on picnics to Hangang River Park.
They ride boats on the Han River.
The Han River is really great.",TTMIK Stories Level 1 Articles 한강,,
1,"저는 옷이 많아요.
그렇지만 이 옷은 요즘 입지 않아요.
저 옷도 요즘 입지 않아요.
이 옷들을 어떻게 해요?
버려요?
버리지 않아요.
저는 ‘중고 시장’에 옷을 팔아요.
요즘은 인터넷에도 중고 시장이 있어요.
어떤 사람이 제 옷을 샀어요.
야호! 저는 돈을 벌었어요.","I have a lot of clothes.
But these days I don't wear some of these clothes.
I don’t wear those clothes these days, either.
What should I do with these clothes?
Should I throw them away?
I don’t throw them away.
I sell clothes at the ‘secondhand market’.
These days, there is even a secondhand market on the internet.
Someone bought my clothes.
Yay! I earned money.",TTMIK Stories Level 1 Articles 중고 시장,,
1,"운동을 하고 싶어요.
그렇지만 날씨가 안 좋아요.
어디에서 운동을 해요?
저는 계단에서 해요.
엘리베이터를 타지 않아요.
계단을 올라가요.
1층부터 20층까지 올라가요.
다이어트에 아주 좋아요.
그렇지만 계단을 내려가지 않아요.
무릎이 너무 아파요.","I want to exercise.
But the weather isn’t good.
Where do you exercise?
I do it on the stairs.
I don’t take the elevator.
I go up the stairs.
I go up from the 1st floor to the 20th floor.
It’s very good for dieting.
But I don’t go down the stairs.
My knee really hurts.",TTMIK Stories Level 1 Articles 계단을 올라가요,,
1,"강아지하고 산책을 해요.
강아지가 저보다 앞에 가요.
그리고 저를 봐요.
다시 저보다 앞에 가요.
그리고 또 저를 봐요.
강아지는 왜 저를 봐요?
거기부터 여기까지 안전해요.
내가 먼저 봤어요.
괜찮아요. 여기에 와요.'
강아지는 이렇게 생각해요.","I take a walk with my dog.
My dog goes ahead of me.
And then it looks at me.
Again, it goes ahead of me.
And again, it looks at me.
Why does my dog look at me?
It's safe from there to here.
I saw it first (that the road is safe).
It's okay. Come here.
The dog thinks like this.",TTMIK Stories Level 1 Articles 강아지하고 산책해요,,
1,"경복궁을 알아요?
경복궁은 서울에 있어요.
옛날에 왕이 경복궁에서 살았어요.
지금은 경복궁에 사람이 살지 않아요.
관광지예요.
외국 사람, 한국 사람 모두 경복궁에 많이 가요.
봄에는 꽃이 예뻐요.
가을에는 나무가 예뻐요.","Do you know Gyeongbokgung?
Gyeongbokgung is in Seoul.
Long ago, the king lived in Gyeongbokgung.
Now, no one lives in Gyeongbokgung.
It's a tourist attraction.
Both foreigners and Koreans go to Gyeongbokgung a lot.
The flowers are beautiful in the spring.
The trees are beautiful in the fall.",TTMIK Stories Level 1 Articles 경복궁,,
1,"저는 오늘 처음 요리를 했어요.
갈비를 만들었어요.
엄마랑 같이 먹었어요.
""엄마, 갈비 어때요?""
""너무 맛있어.""
저도 갈비를 먹었어요.
너무 맛없었어요.
""엄마, 이거 너무 맛없어요.""
""아니야. 갈비에 네 사랑이 들어갔어.
그래서 너무 맛있어.""","Today, I cooked for the first time.
I made galbi.
I ate together with my mom.
""Mom, how is the galbi?""
""It's really delicious.""
I also ate the galbi.
It was really bad.
""Mom, this really tastes bad.""
""No. Your love went into the galbi.
""So, it’s really delicious.""",TTMIK Stories Level 1 Articles 처음 요리했어요,,
1,"오늘 한국 친구하고 쇼핑했어요.
저는 이렇게 말했어요.
“옷이 맛있어요!” 
친구가 웃었어요.
“옷은 ‘멋있어요’예요.” 
우리는 식당에 갔어요.
삼계탕을 먹었어요.
저는 이렇게 말했어요.
“삼계탕이 멋있어요!” 
친구가 또 웃었어요.
“삼계탕은 ‘맛있어요’예요.” 
저도 같이 웃었어요.","Today, I went shopping with my Korean friend.
This is what I said.
""The clothes are delicious!""
My friend laughed.
""For clothes, you say '멋있어요' (cool).""
We went to a restaurant.
We ate samgyetang.
I said it like this.
""The samgyetang is cool!""
My friend laughed again.
""For samgyetang, you say '맛있어요' (delicious).""
I laughed together too.",TTMIK Stories Level 1 Articles 옷이 멋있어요,,
1,"한국 지하철에는 분홍색 자리가 있어요.
이 자리에 사람들이 앉지 않아요.
왜 앉지 않아요?
이 자리에 누가 앉아요?
‘임산부’가 앉아요.
임산부는 몸이 너무 힘들어요.
그래서 임산부 자리를 만들었어요.
임산부가 아니에요?
분홍색 자리에 앉지 마세요.","There are pink seats on the Korean subway.
People don’t sit in these seats.
Why don't they sit there?
Who sits in these seats?
Pregnant women sit (there).
Pregnant women’s bodies have a hard time.
So they made seats for pregnant women.
You're not pregnant?
Please don’t sit in the pink seats.",TTMIK Stories Level 1 Articles 분홍색 자리,,
1,"내일 시험이 있어요.
도서관에서 공부해요.
책상이 안 깨끗해요.
책상을 청소해요.
가방에서 볼펜을 찾아요.
볼펜이 없어요.
그래서 문구점에 가요.
볼펜을 사요.
다시 도서관에 와요.
이제 진짜 공부를 하고 싶어요.
책을 찾아요.
가방에 책이 없어요.
정말 큰일 났어요.","I have a test tomorrow.
I study at the library.
The desk isn't clean.
I clean the desk.
I search for a pen in my bag.
There isn't a pen.
So I go to the stationery store.
I buy a pen.
I come back to the library.
Now I really want to study.
I look for a book.
There isn't a book in my bag.
I'm in big trouble now.",TTMIK Stories Level 1 Articles 큰일 났어요,,
1,"조금 전에 메시지가 왔어요.
- 수지야, 내일 7시에 고고식당에서 내 생일 파티를 해. 꼭 와.
  저는 수지가 아니에요.
그래서 메시지를 보냈어요.
- 저는 수지가 아니에요.
저는 세나예요.
생일 축하해요!
- 어머, 죄송해요.
그리고 고마워요.
세나 씨도 제 생일 파티에 와요!
 - 정말요? 좋아요!
저는 새 친구가 생겼어요.","A message came a little while ago.
- Suji, I’m having my birthday party at Gogo Restaurant at 7 tomorrow. Please be sure to come.
I'm not Suji.
So I sent a message.
- I am not Suji.
I'm Sena.
Happy birthday!
- Oh my, I'm sorry.
And thank you.
Sena, you should come to my birthday party too!
- Really? Sounds good!
I made a new friend.",TTMIK Stories Level 1 Articles 메시지가 왔어요,,
